CLIMATE_ID,STATION_NAME,PROVINCE,LATITUDE_DECIMAL_DEGREES,LONGITUDE_DECIMAL_DEGREES,ELEVATION,STATION_NORMAL_CODE
3010890,BROWNFIELD,ALTA,52.3191733333333,-111.469465,755300,A
3011120,CALMAR,ALTA,53.2897241666667,-113.863057777778,720000,A
3011953,DAKOTA WEST,ALTA,52.75,-113.95,865200,A
3012205,EDMONTON INT'L A,ALTA,53.3166666666667,-113.583333333333,723300,A
301222F,EDMONTON STONY PLAIN,ALTA,53.5475016666667,-114.108358333333,766300,A
3012230,EDMONTON WOODBEND,ALTA,53.4166666666667,-113.75,670600,A
3012515,FABYAN,ALTA,52.9666666666667,-111,698000,A
3015672,ST LINA,ALTA,54.3,-111.45,632500,A
3016494,TOFIELD NORTH,ALTA,53.55,-112.75,701000,A
3022136,DRUMHELLER ANDREW,ALTA,51.4666666666667,-112.866666666667,719300,A
3024150,MADDEN,ALTA,51.5041861111111,-114.323905555556,1138000,A
3024210,MARKERVILLE,ALTA,52.1166666666667,-114.133333333333,914400,A
3025480,RED DEER A,ALTA,52.1786111111111,-113.893055555556,904600,A
3031093,CALGARY INT'L A,ALTA,51.1138888888889,-114.020277777778,1084100,A
3031658,CLARESHOLM WATERWORKS,ALTA,50.0189055555556,-113.710558333333,1008000,A
3034480,MEDICINE HAT A,ALTA,50.0188888888889,-110.720833333333,716900,A
3034596,MONARCH,ALTA,49.81445,-113.160855555556,947000,A
3036240,SUFFIELD A,ALTA,50.2666666666667,-111.183333333333,769600,A
3050600,BEAVER MINES,ALTA,49.4672277777778,-114.176955555556,1257000,A
30506GN,BIGHORN DAM,ALTA,52.3166666666667,-116.333333333333,1341000,A
3053600,KANANASKIS,ALTA,51.0275222222222,-115.034738888889,1391100,A
3060321,ATHABASCA 2,ALTA,54.8216686111111,-113.539724166667,626300,A
3061200,CAMPSIE,ALTA,54.1322227777778,-114.677778888889,670600,A
30619E0,CROSS LAKE,ALTA,54.6327802777778,-113.9136125,655300,A
3062693,FORT MCMURRAY A,ALTA,56.65,-111.216666666667,369100,A
3065885,SHINING BANK,ALTA,53.85,-115.966666666667,829100,A
3067372,WHITECOURT A,ALTA,54.1438888888889,-115.786666666667,782400,A
